PARKING_ID,RECORD_DATE,RECORD_STATUS,PARKING_STATUS,FROM_DATE,TO_DATE,CITY_OWNED,DDP_BLOCKNUM,SUBMARKET,NUMBER_OF_SPACES,LOT_OPERATOR,ENTER_OFF_STREETS,MONTHLY_RATE,DAILY_RATE,BIZ_FILE_NUM,PARKING_TYPE,GLOBALID,SHAPE_Length,SHAPE_Area
422,,87,,,,No,, ,, , ,-9999.0,-9999.0,990028,Parking Garage,{67E85B7D-4FF7-4253-B81C-C0C19C339729},0.00489393935253,7.59491908008e-07
,,88,,,,,,,,"PRINCIPAL REAL ESTATE INVESTORS, LLC",13th/Lincoln,,,1019893,Parking Garage,{8BB103B7-EC09-4E24-87D8-3B62E2E4EE95},0.00230729541665,2.05466216151e-07
,,89,,,,No,,,,RENAISSANCE DENVER HOTEL,39th/Quebec,,,1022273,Parking Garage,{EF78A939-93A7-446D-9EBE-7F09C3D5FA1F},0.00234650769379,3.19888769001e-07
,,90,,,,,,,,ROSE MEDICAL CENTER,,,,1041843,Parking Garage,{A29B6C71-2704-415E-A737-0E3543FCE4EB},0.00217345899375,2.45920536294e-07
,,91,,,,,,,,SPECTRUM PARTNERS,16th/Lincoln,,,1054388,Parking Garage,{8B50FFFE-5A0B-404E-A020-099FA465A639},0.00144372181731,1.30194225425e-07
,,92,,,,,,,,SPIRE PARKING LLC,17th/Grant,,,1051491,Parking Garage,{929FCEF2-53CE-46A9-96B0-8FAFDEE55C1A},0.0022041507937,2.33371678925e-07
,,93,,,,,,,,SPIRE PARKING LLC,Ulster/Tufts,,,1051498,Parking Garage,{ED583790-22C7-4F43-AC9D-79DB41420190},0.00300001461074,4.48615572161e-07
,,94,,,,,,,,STANDARD PARKING,1st/Detroit,,,1054622,Parking Garage,{6610FD54-A751-4208-BB2F-D74C2FA849BD},0.00157499874014,1.59395151889e-07
,,95,,,,,,,,STANDARD PARKING,Milwaukee/2nd,,,1054623,Parking Garage,{7431A720-71C0-405D-9F04-D5F939F116AD},0.00314151566096,3.98050042401e-07
,,96,,,,,,,,,University/3rd,,,990029,Parking Garage,{C9D5798C-0DFC-4850-9E9F-29EC3F7938F0},0.00328268215776,3.47494340692e-07
,,97,,,,,,,,STANDARD PARKING,18th/Sherman,,,1054620,Parking Garage,{719EC30A-2E30-4D23-A590-FD6ABA2A7056},0.00142140000411,1.23127224832e-07
,,98,,,,,,,,STANDARD PARKING,2nd/Clayton,,,1054675,Parking Garage,{74DBDE7A-6C1A-4818-8A63-6278E0C12D3A},0.00329964486715,4.43042807152e-07
,,99,,,,,,,,STANDARD PARKING,1st/Saint Paul,,,1054676,Parking Garage,{54F16A8D-1ECA-4E18-AA3C-D95805AF4854},0.00280446221976,4.50323686258e-07
,,100,,,,,,,,THE CHANCERY SENTINEL,Lincoln,,,12169,Parking Garage,{6A57A4AA-D85A-4972-8953-C4C3812659F1},0.0014693019724,1.27952252459e-07
,,101,,,,,,,,THE NEW PENN GARAGE,13th/ogden,,,7460,Parking Garage,{32EE91C1-7844-463B-93C0-41990E0A1A51},0.00149961001787,1.38132391479e-07
,,102,,,,,,,,TRI STATE BUDDHIST CHURCH APTS,Larimer/20th,,,12688,Parking Garage,{72BF11C5-9FC4-43A4-B008-B104CB55B4BA},0.00180925297395,1.90623908239e-07
,,103,,,,,,,,UNICO PROP LLC,17th/lincoln,,,1039473,Parking Garage,{12DFF2BE-05AD-4351-A116-F9FE9B0BE047},0.00151620730733,1.36747391945e-07
,,104,,,,,,,,UNIVERSITY OF DENVER LOT T,asbury,,,93893,Parking Garage,{9221B332-7F64-42B1-B0F9-D392DFAACD1A},0.003060981875,3.99913375008e-07
,,105,,,,,,,,UNIVERSITY OF DENVER LOT C-103,high/buchtel,,,88841,Parking Garage,{3309790A-EDCF-4614-A0DE-E6BBB725E6B9},0.0042841195837,9.35883556456e-07
,,106,,,,,,,,UNIVERSITY OF DENVER LOT D,university,,,88845,Parking Garage,{77E77BE0-0196-4ABA-A7EF-40F98AB3AAD6},0.00215038096652,2.48511860166e-07
,,107,,,,,,,,UNIVERSITY OF DENVER LOT E-301,high/evans,,,88860,Parking Garage,{BF5A67E0-F4A5-4310-944C-60CBF453A0CC},0.00277353050367,4.17957051279e-07
,,108,,,,,,,,UNIVERSITY OF DENVER LOT N,high,,,1022790,Parking Garage,{D1D69052-B92B-4DDA-9F98-9302F501C686},0.00416204755513,2.76719632899e-07
,,109,,,,,,,,UNIVERSITY OF DENVER LOT H,iliff/gaylord,,,88850,Parking Garage,{00447ACB-66F9-4C0B-A9D6-591DFAFC3980},0.00311974333079,5.72752266394e-07
,,110,,,,,,,,UNIVERSITY OF DENVER LOT L,asbury/gaylord,,,88849,Parking Garage,{B398539D-E877-4173-AC8F-5E5137196178},0.00279795337662,4.23093667914e-07
,,111,,,,,,,,UNIVERSITY OF DENVER LOT 321,evans/gaylord,,,88849,Parking Garage,{5B81BD41-727A-4330-AD8A-E5484D51EED6},0.00271112173579,4.30828990586e-07
,,112,,,,No,,LoDo,89,Interpark-URBAN VILLAGES,Blake/16th,135.0,7.5,1032821,Parking Garage,{7D03EB4C-1D40-4B57-B815-DB268142134D},0.00174337102943,1.81587158535e-07
,,113,,,,No,,LoDo,,CENTRAL PARKING, ,-9999.0,-9999.0,1050470,Parking Garage,{D8592CB1-E66B-4FB4-914B-DF1D8C0A9C34},0.00232388399011,2.90813196224e-07
,,114,,,,No,,LoDo,,CENTRAL PARKING,wynkoop,-9999.0,-9999.0,1037221,Parking Garage,{AD19C3C5-E76A-4CD3-B75D-DF335EA471B7},0.002599676655,3.69066013877e-07
,,115,,,,No,,Convention,98,Central-ALLRIGHT PARKING,Cleveland/15th,-9999.0,10.0,81956,Parking Garage,{66FEB516-5E11-4B4B-A869-7F1D3EFBE311},0.00199812367853,2.31271005718e-07
,,116,,,,No,,Convention,157,Central-Allright,Cleveland/15th,150.0,10.0,990083,Parking Garage,{0CD41517-0E94-4A99-BB1F-D60D228F835B},0.00268906175758,3.99011961702e-07
,,117,,,,,,,,,delgany,,,990084,Parking Garage,{2C2B48BE-9E2F-43D4-AC09-44089E1CF6AA},0.00173568022068,1.79799624977e-07
,,118,,,,No,, ,, , ,-9999.0,-9999.0,990303,Parking Garage,{94FA6F39-A39D-4C96-9A1C-2F36447D56EA},0.00204385361954,2.05212594793e-07
,,119,,,,,,,,,14th/lincoln,,,990085,Parking Garage,{27047F30-C748-4F5E-BD16-FE9DA701C7CA},0.00266665870025,3.82649233813e-07
,,120,,,,No,,LoDo,,ALPHA PARK, ,-9999.0,-9999.0,1053307,Parking Garage,{45E6C508-951A-4227-8448-D3EB7F941518},0.00300678918725,3.95973543765e-07
93,,121,,,,No,0, ,,RULLO BINDERY,champa,-9999.0,-9999.0,8927,Surface Parking,{AA1666DA-EF5D-4DE0-9639-3E3B2B096EF0},0.00104744451953,5.68136757874e-08
95,,122,,,,No,9,LoDo,, , ,-9999.0,-9999.0,990086,Surface Parking,{4EA19A4A-BFA1-4E37-82E4-3A64F4A73209},0.0012340898658,8.58240106723e-08
114,,123,,,,No,0, ,,ELOY MARTINEZ FAMILY TRUST,22nd/stout,-9999.0,-9999.0,1059298,Surface Parking,{1A0CBFFC-09FA-4845-B3D5-2B6FA3F6189C},0.00115425611198,6.68951659022e-08
123,,124,,,,No,0, ,, , ,-9999.0,-9999.0,990087,Surface Parking,{F8097CA5-3696-4015-988E-D2D5788DAAC0},0.00189493691862,2.14945969069e-07
61,,125,,,,No,0, ,, , ,-9999.0,-9999.0,990304,Surface Parking,{8D68BB59-5D32-42D1-BE7F-C0C6EF7DC8B9},0.00334395676699,3.42445488064e-07
130,,126,,,,No,1,LoDo,, , ,-9999.0,-9999.0,990088,Surface Parking,{8E22C8D1-B9D8-479E-A3DB-814EB316355C},0.0019596610725,1.75298835192e-07
131,,127,,,,No,2,LoDo,, , ,-9999.0,-9999.0,990089,Surface Parking,{B71B845A-5FB6-487D-A0A2-2E195851FD3A},0.000609155625217,2.20341589963e-08
136,,128,,,,No,0, ,, , ,-9999.0,-9999.0,990090,Surface Parking,{BBFD6D52-327B-465D-874C-60A22F3AD2EA},0.00289014065172,2.51007980518e-07
